,Grupo,Pais,Pos,Name,Captain,Age,Caps,Goals,Club
711,Group H,Japan,3MF,Takashi Usami,No,(1992-05-06)6 May 1992 (aged 26),22,3, Fortuna Düsseldorf
712,Group H,Japan,1GK,Masaaki Higashiguchi,No,(1986-05-12)12 May 1986 (aged 32),4,0, Gamba Osaka
713,Group H,Japan,4FW,Yoshinori Mutō,No,(1992-07-15)15 July 1992 (aged 25),22,2, Mainz 05
714,Group H,Japan,3MF,Takashi Inui,No,(1988-06-02)2 June 1988 (aged 30),25,2, Eibar
715,Group H,Japan,4FW,Yuya Osako,No,(1990-05-18)18 May 1990 (aged 28),27,7, 1. FC Köln
716,Group H,Japan,3MF,Hotaru Yamaguchi,No,(1990-10-06)6 October 1990 (aged 27),41,2, Cerezo Osaka
717,Group H,Japan,3MF,Makoto Hasebe,Si,(1984-01-18)18 January 1984 (aged 34),109,2, Eintracht Frankfurt
718,Group H,Japan,3MF,Ryota Oshima,No,(1993-01-23)23 January 1993 (aged 25),4,0, Kawasaki Frontale
719,Group H,Japan,2DF,Hiroki Sakai,No,(1990-04-12)12 April 1990 (aged 28),41,0, Marseille
720,Group H,Japan,2DF,Tomoaki Makino,No,(1987-05-11)11 May 1987 (aged 31),31,4, Urawa Red Diamonds
721,Group H,Japan,2DF,Gōtoku Sakai,No,(1991-03-14)14 March 1991 (aged 27),39,0, Hamburger SV
722,Group H,Japan,2DF,Maya Yoshida,No,(1988-08-24)24 August 1988 (aged 29),81,10, Southampton
723,Group H,Japan,1GK,Kosuke Nakamura,No,(1995-02-27)27 February 1995 (aged 23),3,0, Kashiwa Reysol
724,Group H,Poland,1GK,Bartosz Białkowski,No,(1987-07-06)6 July 1987 (aged 30),1,0, Ipswich Town
725,Group H,Poland,1GK,Łukasz Fabiański,No,(1985-04-18)18 April 1985 (aged 33),43,0, Swansea City
726,Group H,Poland,1GK,Łukasz Skorupski,No,(1991-05-05)5 May 1991 (aged 27),2,0, Roma
727,Group H,Poland,1GK,Wojciech Szczęsny,No,(1990-04-18)18 April 1990 (aged 28),33,0, Juventus
728,Group H,Poland,2DF,Jan Bednarek,No,(1996-04-12)12 April 1996 (aged 22),1,0, Southampton
729,Group H,Poland,2DF,Bartosz Bereszyński,No,(1992-07-12)12 July 1992 (aged 25),6,0, Sampdoria
730,Group H,Poland,2DF,Thiago Cionek,No,(1986-04-21)21 April 1986 (aged 32),17,0, SPAL
731,Group H,Poland,2DF,Kamil Glik,No,(1988-02-03)3 February 1988 (aged 30),57,4, Monaco
732,Group H,Poland,2DF,Artur Jędrzejczyk,No,(1987-11-04)4 November 1987 (aged 30),35,3, Legia Warsaw
733,Group H,Poland,2DF,Marcin Kamiński,No,(1992-01-15)15 January 1992 (aged 26),5,0, VfB Stuttgart
734,Group H,Poland,2DF,Tomasz Kędziora,No,(1994-06-11)11 June 1994 (aged 24),3,0, Dynamo Kyiv
735,Group H,Poland,2DF,Michał Pazdan,No,(1987-09-21)21 September 1987 (aged 30),31,0, Legia Warsaw
736,Group H,Poland,2DF,Łukasz Piszczek,No,(1985-06-03)3 June 1985 (aged 33),61,3, Borussia Dortmund
737,Group H,Poland,3MF,Jakub Błaszczykowski,No,(1985-12-14)14 December 1985 (aged 32),97,19, VfL Wolfsburg
738,Group H,Poland,3MF,Paweł Dawidowicz,No,(1995-05-20)20 May 1995 (aged 23),1,0, Palermo
739,Group H,Poland,3MF,Przemysław Frankowski,No,(1995-04-12)12 April 1995 (aged 23),1,0, Jagiellonia Białystok
740,Group H,Poland,3MF,Jacek Góralski,No,(1992-09-21)21 September 1992 (aged 25),3,0, Ludogorets Razgrad
741,Group H,Poland,3MF,Kamil Grosicki,No,(1988-06-08)8 June 1988 (aged 30),56,12, Hull City
742,Group H,Poland,3MF,Grzegorz Krychowiak,No,(1990-01-29)29 January 1990 (aged 28),49,2, West Bromwich Albion
743,Group H,Poland,3MF,Rafał Kurzawa,No,(1993-01-29)29 January 1993 (aged 25),3,0, Górnik Zabrze
744,Group H,Poland,3MF,Karol Linetty,No,(1995-02-02)2 February 1995 (aged 23),19,1, Sampdoria
745,Group H,Poland,3MF,Krzysztof Mączyński,No,(1987-05-23)23 May 1987 (aged 31),31,2, Legia Warsaw
746,Group H,Poland,3MF,Sławomir Peszko,No,(1985-02-19)19 February 1985 (aged 33),43,2, Lechia Gdańsk
747,Group H,Poland,3MF,Maciej Rybus,No,(1989-08-19)19 August 1989 (aged 28),49,2, Lokomotiv Moscow
748,Group H,Poland,3MF,Sebastian Szymański,No,(1999-05-10)10 May 1999 (aged 19),0,0, Legia Warsaw
749,Group H,Poland,3MF,Piotr Zieliński,No,(1994-05-20)20 May 1994 (aged 24),31,4, Napoli
750,Group H,Poland,3MF,Szymon Żurkowski,No,(1997-09-25)25 September 1997 (aged 20),0,0, Górnik Zabrze
751,Group H,Poland,4FW,Dawid Kownacki,No,(1997-03-14)14 March 1997 (aged 21),1,0, Sampdoria
752,Group H,Poland,4FW,Robert Lewandowski,Si,(1988-08-21)21 August 1988 (aged 29),93,52, Bayern Munich
753,Group H,Poland,4FW,Arkadiusz Milik,No,(1994-02-28)28 February 1994 (aged 24),38,12, Napoli
754,Group H,Poland,4FW,Łukasz Teodorczyk,No,(1991-06-03)3 June 1991 (aged 27),15,4, Anderlecht
755,Group H,Poland,4FW,Kamil Wilczek,No,(1988-01-14)14 January 1988 (aged 30),3,0, Brøndby
756,Group H,Senegal,1GK,Abdoulaye Diallo,No,(1992-03-30)30 March 1992 (aged 26),16,0, Rennes
757,Group H,Senegal,2DF,Kara Mbodji,No,(1989-11-11)11 November 1989 (aged 28),51,5, Anderlecht
758,Group H,Senegal,2DF,Kalidou Koulibaly,No,(1991-06-20)20 June 1991 (aged 26),24,0, Napoli
759,Group H,Senegal,2DF,Saliou Ciss,No,(1989-09-15)15 September 1989 (aged 28),18,0, Valenciennes
760,Group H,Senegal,3MF,Idrissa Gueye,No,(1989-09-26)26 September 1989 (aged 28),59,1, Everton
761,Group H,Senegal,2DF,Salif Sané,No,(1990-08-25)25 August 1990 (aged 27),20,0, Hannover 96
762,Group H,Senegal,4FW,Moussa Sow,No,(1986-01-19)19 January 1986 (aged 32),50,18, Bursaspor
763,Group H,Senegal,2DF,Cheikhou Kouyaté,Si,(1989-12-21)21 December 1989 (aged 28),47,2, West Ham United
764,Group H,Senegal,4FW,Mame Biram Diouf,No,(1987-12-16)16 December 1987 (aged 30),47,10, Stoke City
765,Group H,Senegal,4FW,Sadio Mané,No,(1992-04-10)10 April 1992 (aged 26),51,14, Liverpool
766,Group H,Senegal,3MF,Cheikh N'Doye,No,(1986-03-29)29 March 1986 (aged 32),24,3, Birmingham City
767,Group H,Senegal,2DF,Youssouf Sabaly,No,(1993-03-05)5 March 1993 (aged 25),3,0, Bordeaux
768,Group H,Senegal,3MF,Alfred N'Diaye,No,(1990-03-06)6 March 1990 (aged 28),19,0, Wolverhampton Wanderers
769,Group H,Senegal,4FW,Moussa Konaté,No,(1993-04-03)3 April 1993 (aged 25),27,9, Amiens
770,Group H,Senegal,4FW,Diafra Sakho,No,(1989-12-24)24 December 1989 (aged 28),10,3, Rennes
771,Group H,Senegal,1GK,Khadim N'Diaye,No,(1985-04-05)5 April 1985 (aged 33),25,0, Horoya
772,Group H,Senegal,3MF,Badou Ndiaye,No,(1990-10-27)27 October 1990 (aged 27),18,1, Stoke City
773,Group H,Senegal,4FW,Ismaïla Sarr,No,(1998-02-25)25 February 1998 (aged 20),14,2, Rennes
774,Group H,Senegal,4FW,M'Baye Niang,No,(1994-12-19)19 December 1994 (aged 23),5,0, Torino
775,Group H,Senegal,4FW,Keita Baldé,No,(1995-03-08)8 March 1995 (aged 23),17,3, Monaco
776,Group H,Senegal,2DF,Lamine Gassama,No,(1989-10-20)20 October 1989 (aged 28),35,0, Alanyaspor
777,Group H,Senegal,2DF,Moussa Wagué,No,(1998-10-04)4 October 1998 (aged 19),9,0, Eupen
778,Group H,Senegal,1GK,Alfred Gomis,No,(1993-09-05)5 September 1993 (aged 24),1,0, SPAL
